rank,domain,type,target_url,angle,contact_status,next_action,notes
1,madridsecreto.co,national_media,https://www.voyagerballoons.eu/vuelo-en-globo-segovia-desde-madrid,Escapada premium desde Madrid,needs_contact_research,Buscar email editorial/formulario y enviar propuesta corta,Alta afinidad con reservas directas desde Madrid.
2,traveler.es,national_media,https://www.voyagerballoons.eu/vuelo-en-globo-segovia-desde-madrid,Experiencia singular en Espana,needs_contact_research,Buscar contacto editorial de escapadas/planes,Alta autoridad y buen encaje de marca.
3,guiarepsol.com,national_media,https://www.voyagerballoons.eu/actividades-segovia,Segovia desde el aire,needs_contact_research,Buscar formulario o contacto de redaccion,Audiencia nacional de escapadas.
4,viajes.nationalgeographic.com.es,national_media,https://www.voyagerballoons.eu/actividades-segovia,Visual Segovia desde el aire,needs_contact_research,Buscar contacto editorial/fotografia,Usar solo con fotos muy potentes.
5,lonelyplanet.com,international_travel_guide,https://www.voyagerballoons.eu/vuelo-en-globo-segovia-desde-madrid,Day trip from Madrid,needs_contact_research,Buscar contributor/update request,Alta autoridad internacional.
6,roughguides.com,international_travel_guide,https://www.voyagerballoons.eu/vuelo-en-globo-segovia-desde-madrid,Day trip from Madrid,needs_contact_research,Buscar contacto editorial/update,Alta autoridad internacional.
7,fodors.com,international_travel_guide,https://www.voyagerballoons.eu/vuelo-en-globo-segovia-desde-madrid,Day trip from Madrid,needs_contact_research,Buscar contacto editorial,Encaja con articulo de day trips.
8,planetware.com,international_travel_guide,https://www.voyagerballoons.eu/vuelo-en-globo-segovia-desde-madrid,Things to do near Madrid,needs_contact_research,Buscar editor/update request,Lista actualizable de day trips.
9,europeanbestdestinations.com,international_travel_guide,https://www.voyagerballoons.eu/actividades-segovia,Best experiences in Segovia,needs_contact_research,Buscar contacto editorial/partnership,Alta afinidad turistica europea.
10,theculturetrip.com,international_travel_blog,https://www.voyagerballoons.eu/vuelo-en-globo-segovia-desde-madrid,Unique Spain experience,needs_contact_research,Buscar contacto editorial/partnership,Audiencia internacional.
11,getyourguide.es,tour_marketplace,https://www.voyagerballoons.eu/vuelo-en-globo-segovia,Marketplace internacional,needs_partner_research,Revisar requisitos de proveedor,Puede generar demanda incremental aunque no sea backlink SEO puro.
12,viator.com,tour_marketplace,https://www.voyagerballoons.eu/vuelo-en-globo-segovia,Marketplace internacional,needs_partner_research,Revisar alta de proveedor y competidores,Prioridad comercial si condiciones son buenas.
