keyword,language_code,location_name,location_code,device,cluster,target_url,priority,brand_id,role
vuelo en globo segovia,es,Segovia Castile and Leon Spain,1005528,mobile,segovia,https://www.voyagerballoons.eu/vuelo-en-globo-segovia,P0,voyager,primary
volar en globo segovia,es,Segovia Castile and Leon Spain,1005528,mobile,segovia,https://www.voyagerballoons.eu/vuelo-en-globo-segovia,P0,voyager,primary
paseo en globo segovia,es,Segovia Castile and Leon Spain,1005528,mobile,segovia,https://www.voyagerballoons.eu/paseo-en-globo-segovia,P0,voyager,primary
globos aerostaticos segovia,es,Segovia Castile and Leon Spain,1005528,mobile,segovia,https://www.voyagerballoons.eu/globos-aerostaticos-segovia,P1,voyager,primary
precio vuelo en globo segovia,es,Madrid Spain,1005493,mobile,segovia,https://www.voyagerballoons.eu/vuelo-en-globo-segovia,P0,voyager,primary
vuelo en globo segovia desde madrid,es,Madrid Spain,1005493,mobile,madrid,https://www.voyagerballoons.eu/vuelo-en-globo-segovia-desde-madrid,P0,voyager,primary
excursion globo segovia desde madrid,es,Madrid Spain,1005493,mobile,madrid,https://www.voyagerballoons.eu/vuelo-en-globo-segovia-desde-madrid,P1,voyager,primary
que hacer en segovia,es,Madrid Spain,1005493,mobile,activities,https://www.voyagerballoons.eu/actividades-segovia,P1,voyager,primary
actividades en segovia,es,Madrid Spain,1005493,mobile,activities,https://www.voyagerballoons.eu/actividades-segovia,P1,voyager,primary
planes en segovia,es,Madrid Spain,1005493,mobile,activities,https://www.voyagerballoons.eu/actividades-segovia,P2,voyager,primary
regalar vuelo en globo segovia,es,Madrid Spain,1005493,mobile,gift,https://www.voyagerballoons.eu/regalar-vuelo-en-globo-segovia,P0,voyager,primary
regalo experiencia segovia,es,Madrid Spain,1005493,mobile,gift,https://www.voyagerballoons.eu/regalar-vuelo-en-globo-segovia,P1,voyager,primary
regalo vuelo en globo,es,Madrid Spain,1005493,mobile,gift,https://www.voyagerballoons.eu/regalar-vuelo-en-globo,P1,voyager,primary
vuelo en globo para parejas segovia,es,Madrid Spain,1005493,mobile,comfort,https://www.voyagerballoons.eu/vuelo-en-globo-segovia-comfort,P1,voyager,primary
vuelo en globo comfort segovia,es,Madrid Spain,1005493,mobile,comfort,https://www.voyagerballoons.eu/vuelo-en-globo-segovia-comfort,P0,voyager,primary
vuelo en globo braganza,es,Spain,2724,mobile,braganca,https://www.aosabordovento.net/,P0,ao_sabor_do_vento,primary
vuelo en globo braganca portugal,es,Spain,2724,mobile,braganca,https://www.aosabordovento.net/,P0,ao_sabor_do_vento,primary
passeio de balao braganca,pt,Braganca Portugal,9051350,mobile,braganca,https://www.aosabordovento.net/,P0,ao_sabor_do_vento,primary
voo de balao braganca,pt,Braganca Portugal,9051350,mobile,braganca,https://www.aosabordovento.net/,P0,ao_sabor_do_vento,primary
balao de ar quente braganca,pt,Portugal,2620,mobile,braganca,https://www.aosabordovento.net/,P1,ao_sabor_do_vento,primary
o que fazer em braganca,pt,Portugal,2620,mobile,braganca_activities,https://www.aosabordovento.net/,P1,ao_sabor_do_vento,primary
hot air balloon segovia,en,Madrid Spain,1005493,mobile,segovia_en,https://www.voyagerballoons.eu/en/hot-air-balloon-segovia,P0,voyager,primary
segovia balloon ride,en,Madrid Spain,1005493,mobile,segovia_en,https://www.voyagerballoons.eu/en/hot-air-balloon-segovia,P0,voyager,primary
hot air balloon madrid day trip,en,Madrid Spain,1005493,mobile,madrid_en,https://www.voyagerballoons.eu/en/hot-air-balloon-segovia-from-madrid,P1,voyager,primary
things to do in segovia,en,Madrid Spain,1005493,mobile,activities_en,https://www.voyagerballoons.eu/en/,P1,voyager,primary
hot air balloon gift spain,en,Madrid Spain,1005493,mobile,gift_en,https://www.voyagerballoons.eu/en/gift-hot-air-balloon-segovia,P1,voyager,primary
hot air balloon braganca portugal,en,Portugal,2620,mobile,braganca_en,https://www.voyagerballoons.eu/en/hot-air-balloon-braganca-portugal,P1,voyager,cross_sell
balloon ride braganca,en,Portugal,2620,mobile,braganca_en,https://www.voyagerballoons.eu/en/hot-air-balloon-braganca-portugal,P1,voyager,cross_sell
things to do in braganca portugal,en,Portugal,2620,mobile,braganca_activities_en,https://www.voyagerballoons.eu/en/things-to-do-in-braganca-portugal,P1,voyager,cross_sell
