domain,channel,to_or_url,status,subject,body_file,notes
atomarpormundo.com,email,info@atomarpormundo.com,sent_smtp,"Propuesta editorial: Segovia desde el aire",data/backlinks/media-pack/batches/send-ready-03/atomarpormundo-com.md,Enviado correctamente desde info@voyagerballoons.eu por SMTP.
saltaconmigo.com,email,saltaconmigo@saltaconmigo.com,sent_smtp,"Recurso visual para una escapada a Segovia desde Madrid",data/backlinks/media-pack/batches/send-ready-03/saltaconmigo-com.md,Enviado correctamente desde info@voyagerballoons.eu por SMTP.
comiviajeros.com,contact_form,https://comiviajeros.com/contacto/,needs_manual_channel,"Idea para guía de Segovia: vuelo en globo al amanecer",data/backlinks/media-pack/batches/send-ready-03/comiviajeros-com.md,La pagina de contacto usa formulario; no enviar email sin fuente propia fiable.
unaideaunviaje.com,email,unaideaunviaje@gmail.com,sent_smtp,"Propuesta editorial: una Segovia diferente desde el aire",data/backlinks/media-pack/batches/send-ready-03/unaideaunviaje-com.md,Enviado correctamente desde info@voyagerballoons.eu por SMTP.
losviajesdeclaudia.com,email,claudia@losviajesdeclaudia.com,sent_smtp,"Recurso para escapada a Segovia: globo al amanecer",data/backlinks/media-pack/batches/send-ready-03/losviajesdeclaudia-com.md,Enviado correctamente desde info@voyagerballoons.eu por SMTP.
locosxlosviajes.com,email,locosporlosviajes@gmail.com,sent_smtp,"Plan familiar especial en Segovia: globo al amanecer",data/backlinks/media-pack/batches/send-ready-03/locosxlosviajes-com.md,Enviado correctamente desde info@voyagerballoons.eu por SMTP.
mibauldeblogs.com,email,hola@mibauldeblogs.com,sent_smtp,"Recurso para guia de Segovia: vuelo en globo al amanecer",data/backlinks/media-pack/batches/send-ready-03/mibauldeblogs-com.md,Enviado correctamente desde info@voyagerballoons.eu por SMTP.
getyourguide.supply,supplier_signup,https://www.getyourguide.supply/,needs_manual_channel,"Alta de proveedor: vuelo en globo sobre Segovia",data/backlinks/media-pack/batches/send-ready-03/getyourguide-supply.md,Canal oficial de proveedor; requiere datos comerciales.
supplier.viator.com,supplier_signup,https://supplier.viator.com/sign-up-info,needs_manual_channel,"Alta de proveedor: Segovia balloon flight",data/backlinks/media-pack/batches/send-ready-03/supplier-viator-com.md,Canal oficial de proveedor; requiere cuenta.
merchant.klook.com,supplier_signup,https://merchant.klook.com/introduction,needs_manual_channel,"Klook merchant: Segovia balloon experience",data/backlinks/media-pack/batches/send-ready-03/merchant-klook-com.md,Canal oficial de merchant; requiere registro.
tiqets.com,supplier_signup,https://www.tiqets.com/en/venues/,needs_manual_channel,"Tiqets supplier: Segovia balloon experience",data/backlinks/media-pack/batches/send-ready-03/tiqets-com.md,Canal oficial de venues/suppliers; revisar si aceptan tours.
